objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
42146,042146.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42147,042147.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42148,042148.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42149,042149.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42150,042150.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42151,042151.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42152,042152.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42153,042153.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42154,042154.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42155,042155.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42156,042156.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42157,042157.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42158,042158.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42159,042159.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42160,042160.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42161,042161.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42162,042162.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42163,042163.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42164,042164.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42165,042165.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42166,042166.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42167,042167.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42168,042168.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42169,042169.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42170,042170.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
